predicate,kind,declared,hypothesis_sites,suppliers,files_using,hint_supplied_parent,hint_in_proof_ascription,hint,example_sites
NavierStokes.ActualParticularPhysicalData.ReferenceFamily.NativeRegular,structure,NavierStokes/ActualParticularPhysicalData.lean:1009,13,0,2,,,,NavierStokes/ActualParticularPhysicalData.lean:1020; NavierStokes/ActualParticularPhysicalData.lean:1035; NavierStokes/ActualParticularPhysicalData.lean:1067; NavierStokes/ActualParticularPhysicalData.lean:1091
NavierStokes.ErrorHarmonics.GaussianData,structure,NavierStokes/ErrorHarmonics.lean:446,13,0,1,,,,NavierStokes/ErrorHarmonics.lean:454; NavierStokes/ErrorHarmonics.lean:457; NavierStokes/ErrorHarmonics.lean:461; NavierStokes/ErrorHarmonics.lean:467
NavierStokes.PhysicalResidualNaturality.BandCoherence,structure,NavierStokes/PhysicalResidualNaturality.lean:678,13,0,3,,,,NavierStokes/CorrectionStep.lean:7976; NavierStokes/CorrectionStep.lean:7987; NavierStokes/GaussianErrorNaturality.lean:256; NavierStokes/GaussianErrorNaturality.lean:270
NavierStokes.PhysicalResidualNaturality.PositiveSupport,structure,NavierStokes/PhysicalResidualNaturality.lean:713,13,0,3,,,,NavierStokes/CorrectionStep.lean:7976; NavierStokes/CorrectionStep.lean:7987; NavierStokes/GaussianErrorNaturality.lean:256; NavierStokes/GaussianErrorNaturality.lean:270
NavierStokes.AxisSourceRegularity.AnalyticJetAt,structure,NavierStokes/AxisSourceRegularity.lean:393,11,0,1,,,,NavierStokes/AxisSourceRegularity.lean:405; NavierStokes/AxisSourceRegularity.lean:412; NavierStokes/AxisSourceRegularity.lean:418; NavierStokes/AxisSourceRegularity.lean:424
NavierStokes.GenericDifferentialPolynomial.SupportedPolynomial,structure,NavierStokes/GenericSupportedPolynomial.lean:172,11,0,7,,,,NavierStokes/GenericRealization.lean:137; NavierStokes/GenericSummationRealization.lean:75; NavierStokes/GenericSupportLocalCoefficients.lean:183; NavierStokes/GenericSupportLocalSummation.lean:21
NavierStokes.VolterraRegularity.SmoothCoefficientData,structure,NavierStokes/VolterraRegularity.lean:660,11,0,3,NavierStokes.PositiveAxisExistence.SmoothHolomorphicSystem,,route4,NavierStokes/PositiveAxisDifferential.lean:234; NavierStokes/PositiveAxisExistence.lean:302; NavierStokes/VolterraRegularity.lean:668; NavierStokes/VolterraRegularity.lean:700
NavierStokes.ActivationContinuation.RampParameters,structure,NavierStokes/ActivationContinuation.lean:1468,9,0,2,NavierStokes.ActivationContinuation.ContinuationWitness,NavierStokes/ActivationContinuation.lean:1656,route4,NavierStokes/ActivationContinuation.lean:1598; NavierStokes/ActivationContinuation.lean:1624; NavierStokes/ActivationContinuation.lean:1656; NavierStokes/ActivationContinuation.lean:1825
NavierStokes.ActualParticularDynamics.SourceClasses,abbrev,NavierStokes/ActualParticularDynamics.lean:1335,9,0,1,,,,NavierStokes/ActualParticularDynamics.lean:1384; NavierStokes/ActualParticularDynamics.lean:1405; NavierStokes/ActualParticularDynamics.lean:1459; NavierStokes/ActualParticularDynamics.lean:1472
NavierStokes.CorrectionStep.ParticularParameters.NativeControl,structure,NavierStokes/CorrectionStep.lean:5693,9,0,1,,,,NavierStokes/CorrectionStep.lean:5595; NavierStokes/CorrectionStep.lean:5616; NavierStokes/CorrectionStep.lean:5649; NavierStokes/CorrectionStep.lean:5776
